start,end,num_packets
19:48:32,19:48:32,1
19:48:46,19:49:32,840
19:49:42,19:49:42,1
19:49:52,19:49:58,11
19:50:08,19:50:24,48
19:50:34,19:50:45,11
19:50:55,19:51:17,61
19:51:28,19:52:14,101
19:52:24,19:52:32,17
19:52:43,19:52:44,7
19:52:55,19:53:07,59
19:53:17,19:54:17,160
19:54:27,19:54:28,11
19:54:42,19:55:27,138
19:55:37,19:55:53,72
19:56:03,19:56:11,30
19:56:22,19:56:26,18
19:56:36,19:56:39,19
19:56:49,19:57:02,43
19:57:12,19:57:20,35
19:57:30,19:57:51,83
19:58:01,19:58:16,67
